text,language
L intelligenza artificiale aiuta i medici a diagnosticare le malattie complesse,it
Le roman explore des thèmes identitaires et d appartenance culturelle,fr
Kinder die lesen entwickeln stärkere kognitive Fähigkeiten als andere Kinder,de
Le projet de bibliothèque a relié des communautés éloignées au savoir,fr
Gli sforzi per la conservazione della fauna selvatica hanno dato risultati,it
Los biólogos marinos estudian los ecosistemas debajo de las olas,es
Das Flussdelta beherbergt einzigartige Vogelarten die nirgendwo sonst vorkommen,de
A agricultura continua sendo a espinha dorsal de muitas economias em desenvolvimento,pt
Ela caminhava lentamente pela floresta de outono serena e tranquila,pt
La meditación ayuda a reducir el estrés y mejorar la claridad,es
The novel explores themes of identity and belonging,en
Le barriere coralline supportano una diversità incredibile di vita marina,it
La fotografía captura momentos que de otro modo se perderían,es
O falcão é uma das aves mais rápidas que existem no planeta,pt
The referendum will determine the future of the region,en
Reading books improves vocabulary and imagination,en
La escasez de agua afecta a más de dos mil millones de personas,es
The debate on immigration policy continues in parliament,en
La fusione ha creato la più grande azienda dell industria globale mondiale,it
Der Falke ist einer der schnellsten Vögel die auf der Erde existieren,de
El debate sobre la energía nuclear sigue siendo muy controvertido,es
L intelligence artificielle change rapidement notre monde moderne,fr
The treaty was signed by representatives of twelve nations,en
Die Debatte über die Einwanderungspolitik geht im Parlament weiter,de
La pollution océanique menace la survie des écosystèmes marins fragiles,fr
Les ordinateurs traitent les informations à des vitesses incroyables,fr
I satelliti monitorano continuamente i modelli meteorologici dall orbita,it
L innovazione guida la crescita economica nei mercati altamente competitivi,it
A fusão criou a maior empresa da indústria global mundial,pt
Les systèmes de santé font face à des pressions croissantes des populations vieillissantes,fr
Elle marchait lentement à travers la forêt d automne,fr
La novela explora temas de identidad y sentido de pertenencia,es
Il concerto era assolutamente spettacolare ieri sera al teatro,it
Il nuovo farmaco ha ridotto significativamente le dimensioni del tumore,it
Los niños necesitan nutrición adecuada para su desarrollo,es
Der Waldbrand vernichtete Tausende von Hektar wertvollen Waldgebiets und Lebensraums,de
Scientists have discovered a new species of deep sea fish,en
A orquestra sinfônica se apresentou para uma sala de concertos lotada,pt
The new drug reduced cancer tumor size significantly,en
Les ruines antiques ont été découvertes par des archéologues,fr
The virus spread rapidly across international borders,en
A nova política afetará milhões de cidadãos comuns em todo o país,pt
Gli uccelli migrano migliaia di chilometri ogni anno per istinto,it
L orchestra sinfonica si è esibita davanti a una sala da concerti piena,it
Robotik revolutioniert die Fertigungs und Logistikbranche weltweit grundlegend,de
Astronomers detected radio signals from a distant galaxy,en
Die Erfindung des Internets veränderte die Kommunikation für immer grundlegend,de
Das U Boot erkundete bisher unerforschte Tiefen des Weltmeeres,de
Les scientifiques travaillent sur un remède contre la maladie rare,fr
The new policy will affect millions of citizens,en
Künstliche Intelligenz verändert unsere Welt in rasantem Tempo,de
Das Bibliotheksprojekt verband abgelegene Gemeinden mit Wissen und Bildung,de
Les récifs coralliens soutiennent une incroyable diversité de vie marine,fr
La biodiversidad es esencial para mantener el equilibrio del ecosistema,es
A inteligência artificial ajuda os médicos a diagnosticar doenças complexas,pt
Il dibattito sull energia nucleare rimane altamente controverso politicamente,it
O sítio arqueológico revelou artefatos de civilizações antigas esquecidas,pt
O rio flui suavemente pelo verde vale entre as montanhas,pt
L agriculture reste l épine dorsale de nombreuses économies développées,fr
El proyecto de biblioteca conectó comunidades remotas con el conocimiento,es
La cooperazione internazionale è vitale per affrontare le sfide globali,it
A equipe de basquete ganhou o campeonato depois de anos de treino,pt
The symphony orchestra performed to a packed concert hall,en
Il terremoto ha causato distruzioni diffuse in tutta la regione colpita,it
Os satélites monitoram continuamente os padrões climáticos da órbita,pt
L incendie a détruit plusieurs bâtiments historiques du centre ville,fr
The hospital introduced new treatment procedures,en
Frisches Obst und Gemüse sind für die Gesundheit unerlässlich,de
I biologi marini studiano i complessi ecosistemi sotto le onde del mare,it
Los paneles solares ahora son más baratos que las fuentes tradicionales,es
Le tremblement de terre a causé des destructions généralisées dans la région,fr
El incendio forestal consumió miles de hectáreas de bosque,es
Die Debatte über Kernenergie bleibt politisch und gesellschaftlich sehr umstritten,de
Il documentario ha esplorato le profondità dell oceano Pacifico,it
L esplorazione spaziale ispira le future generazioni di scienziati e innovatori,it
Das Gemälde wurde bei der Auktion für eine außerordentliche Summe verkauft,de
Die Astronauten kehrten sicher von der Raumstation zur Erde zurück,de
Las aves migran miles de kilómetros cada año instintivamente,es
El tiempo hoy es bastante agradable y soleado,es
Korallenriffe unterstützen eine unglaubliche Vielfalt an Meereslebewesen und Ökosystemen,de
Street art transforms urban spaces into open air galleries,en
Il romanzo esplora temi di identità e appartenenza culturale,it
Alte Zivilisationen bauten bemerkenswerte architektonische Strukturen und Monumente,de
Les fruits et légumes frais sont essentiels pour la santé,fr
La valanga ha sepolto diversi edifici della stazione sciistica,it
Los esfuerzos de conservación de la fauna han dado frutos,es
Democracy requires active participation from citizens,en
Healthcare systems face increasing pressure from aging populations,en
Las ruinas antiguas fueron descubiertas por arqueólogos,es
Le texte ancien a finalement été déchiffré par des linguistes experts,fr
La meditazione aiuta a ridurre lo stress e migliorare la chiarezza mentale,it
Ella caminó lentamente por el bosque en otoño,es
